url,description,price,rating,review_count
https://amazon.com/Annie-Chuns-Non-GMO-Shelf-Stable-Japanese-Style/dp/B085HLMFZQ/ref=sr_1_44?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-44,"Annie Chun's Spicy Miso Ramen Noodle Bowl | Non-GMO, Vegan, Shelf-Stable (Pack Of 6) | Japanese-Style Savory Ready Meal",$21.15,3.9,428
https://amazon.com/Instant-Tokyo-Noodles-Chicken-Flavor/dp/B01DFUVT6K/ref=sr_1_46?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-46,Mini Instant Tokyo Noodles Value Pack Chicken Flavor 480g (16 Pack),$14.50,4.3,65
https://amazon.com/Miyasaka-Miso-Wakame-Seaweed-Ounce/dp/B00852YYH0/ref=sr_1_49?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-49,"MIYASAKA JOZO USA INC Instant Miso Soup, 6.21 Ounce",$3.59,4.5,1793
https://amazon.com/Mikes-Mighty-Good-Spicy-Organic/dp/B07FYWKCSD/ref=sr_1_50_0o_wf?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-50,"MIKES MIGHTY GOOD Spicy Beef Ramen Cup, 1.8 Ounce",$1.52,3.9,620
https://amazon.com/Sapporo-Ichiban-Ramen-3-55-Ounce-Packages/dp/B000H25VVO/ref=sr_1_51?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-51,"Sapporo Ichiban Ramen, Miso, 3.55-Ounce Packages (Pack of 24)",$23.68,4.8,240
https://amazon.com/Mikes-Mighty-Good-Ramen-Vegetable/dp/B07DZYJHTV/ref=sr_1_52_0o_wf?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-52,"Mike's Mighty Good Ramen Soup, Vegetable, 1.9 Oz",$1.52,4.2,315
https://amazon.com/Samyang-Korean-Noodles-Variety-Selection/dp/B00KGPBUUS/ref=sr_1_53?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-53,"Samyang Ramen Korean Noodles, Variety Selection (삼양 라면) (Potato Ramen, 5 Pack)",$10.75,4.5,208
https://amazon.com/Asha-Healthy-Noodles-individual-Original/dp/B079YX6GSY/ref=sr_1_54?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-54,"Asha Healthy Ramen Noodles (Original, Wide Size Hakka Flat Noodle)",$16.94,4.2,1191
https://amazon.com/Instant-Noodles-Artificial-Flavor-Pkgs-x/dp/B002F0RY20/ref=sr_1_55?dchild=1&keywords=instant+ramen&qid=1607228195&sr=8-55,"MAMA Instant Noodles Artificial Pork Flavor,30 Pkgs.x 2.12 Oz.(60g)",$16.25,4.7,910
https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08930031OG194WEOZXEJ&url=%2FSapporo-Ichiban-Variety-Flavors-Tonkotsu%2Fdp%2FB088YL1GX8%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607228195%26sr%3D8-57-spons%26psc%3D1&qualifier=1607228195&id=2338962289138518&widgetName=sp_btf,"Sapporo Ichiban Variety Flavors Mix Packs Instant Ramen Noodles, Tonkotsu, Shio, and Miso Flavors Noodle Soup (Pack of 30)",$41.99,4.6,151
https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05378422DHGJNFHEPD07&url=%2FElixir-Tteokbokki-Bibimmen-Jjajangmen-Jjamppong%2Fdp%2FB088B8HM89%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3Dinstant%2Bramen%26qid%3D1607228195%26sr%3D8-58-spons%26psc%3D1&qualifier=1607228195&id=2338962289138518&widgetName=sp_btf,"The Elixir K-Foods Korean Hit Noodle Ramen Variety Pack w/ Tteokbokki Sauce, Instant Coffee Mix Box, Bibimmen, Jjajangmen, Teumsae Ramen, Bul Jjamppong, Volcano Chicken, Seafood Ramen",$25.90,4.4,97
